district_code,subdistrict_code,name,population_2011,males,females,area_sqkm
517,04168,Kalyan,283192,152274,130918,246.51
517,04169,Ulhasnagar,0,0,0,0
517,04170,Ambarnath,125011,65804,59207,245.34
517,04171,Murbad,171927,87241,84686,913.42
518,99999,Area not under any Sub-district,0,0,0,0
519,99999,Area not under any Sub-district,0,0,0,0
520,04172,Uran,90828,46531,44297,284.3
520,04173,Panvel,252477,133230,119247,532.34
520,04174,Karjat,159566,81132,78434,635.01
520,04175,Khalapur,111500,58721,52779,375.66
520,04176,Pen,148824,75700,73124,506.99
520,04177,Alibag,194481,97890,96591,500.25
520,04178,Murud,61991,30401,31590,245.76
520,04179,Roha,119775,60993,58782,639.58
520,04180,Sudhagad,53204,26850,26354,463
520,04181,Mangaon,141078,69537,71541,697.45
520,04182,Tala,40619,19244,21375,247.26
520,04183,Shrivardhan,60952,27774,33178,243.8
520,04184,Mhasla,50235,22899,27336,323.43
520,04185,Mahad,138955,67490,71465,815.87
520,04186,Poladpur,39520,18604,20916,374.8
521,04187,Junnar,373987,189294,184693,1380.67
521,04188,Ambegaon,217096,109583,107513,1030.8
521,04189,Shirur,321644,167526,154118,1517.36
521,04190,Khed,320782,167045,153737,1323.14
521,04191,Mawal,219784,115137,104647,1059.55
521,04192,Mulshi,145373,76032,69341,1011.21
521,04193,Haveli,611631,322760,288871,896.78
521,04194,Pune City,29965,16309,13656,10.020000000000039
521,04195,Daund,324183,167717,156466,1288.19
521,04196,Purandhar,178095,90638,87457,1067.92
521,04197,Velhe,54516,27504,27012,569.13
521,04198,Bhor,167663,84902,82761,851.73
521,04199,Baramati,355839,183444,172395,1355.3
521,04200,Indapur,357668,185549,172119,1465
522,04201,Akola,281904,142642,139262,1471.9
522,04202,Sangamner,400275,206146,194129,1672.48
522,04203,Kopargaon,237179,122516,114663,724.88
522,04204,Rahta,262146,134978,127168,614.41
522,04205,Shrirampur,198218,101668,96550,542.6
522,04206,Nevasa,357829,185001,172828,1286.64
522,04207,Shevgaon,245714,125837,119877,1080.97
522,04208,Pathardi,230898,119817,111081,1162.31
522,04209,Nagar,255862,132661,123201,1396.61
522,04210,Rahuri,253013,130828,122185,931.37
522,04211,Parner,274167,140267,133900,1856.8
522,04212,Shrigonda,284841,148296,136545,1517.17
522,04213,Karjat,224133,117177,106956,1470.93
522,04214,Jamkhed,124363,65073,59290,852.36
523,04215,Ashti,231635,120459,111176,1448.16
523,04216,Patoda,125081,65854,59227,772.32
523,04217,Shirur (Kasar),128583,67626,60957,699.08
523,04218,Georai,305048,159044,146004,1410.36
523,04219,Manjlegaon,205728,107291,98437,906.05
523,04220,Wadwani,87685,45866,41819,450.74
523,04221,Bid,277955,146256,131699,1490.94
523,04222,Kaij,213128,111999,101129,1115.31
523,04223,Dharur,101693,53285,48408,582.45
523,04224,Parli,196233,102446,93787,807.93
523,04225,Ambejogai,197982,102852,95130,851.35
524,04226,Latur,286711,150704,136007,981.22
524,04227,Renapur,142187,74023,68164,557.91
524,04228,Ahmadpur,192232,99921,92311,755.76
524,04229,Jalkot,87201,45058,42143,360.77
524,04230,Chakur,177956,92262,85694,683.76
524,04231,Shirur-Anantpal,83528,42904,40624,320.12
524,04232,Ausa,273453,142244,131209,1214.44
524,04233,Nilanga,289083,149230,139853,1063.06
524,04234,Deoni,97598,50150,47448,415.32
524,04235,Udgir,199267,103211,96056,720.26
525,04236,Paranda,121390,64023,57367,829.15
525,04237,Bhum,118184,62100,56084,810.99
525,04238,Washi,92150,48076,44074,567.78
525,04239,Kalamb,191974,100238,91736,953.85
525,04240,Osmanabad,293911,152976,140935,1253.15
525,04241,Tuljapur,226527,117793,108734,1485.43
525,04242,Lohara,116712,60258,56454,562.86
